meas_id,run_id,sample_id,quantity,value,unit,method,loc,n,uncertainty,source_artifact_id,measured_by,verification,note
DEMO-T1-PECVD-0001.M01,DEMO-T1-PECVD-0001,DEMO-T1-01,film_thickness_nm,200,nm,椭偏,center,1,2.0,,demo,已核实,
DEMO-T1-LDW-0001.M01,DEMO-T1-LDW-0001,DEMO-T1-01,final_cd_nm,505,nm,SEM读图,center,1,3.0,,demo,未核实,
DEMO-T1-ICP-0001.M01,DEMO-T1-ICP-0001,DEMO-T1-01,depth_center_nm,170.8,nm,SEM读图,center,1,3.0,,demo,未核实,
DEMO-T1-ICP-0001.M02,DEMO-T1-ICP-0001,DEMO-T1-01,selectivity,8.4,,计算派生,,1,,,demo,未核实,
DEMO-T1-ICP-0001.M03,DEMO-T1-ICP-0001,DEMO-T1-01,swa_deg,86.2,deg,SEM读图,left,1,1.5,,demo,未核实,
DEMO-T1-ICP-0002.M01,DEMO-T1-ICP-0002,DEMO-T1-01,depth_center_nm,177.7,nm,SEM读图,center,1,3.0,,demo,未核实,
DEMO-T1-ICP-0002.M02,DEMO-T1-ICP-0002,DEMO-T1-01,selectivity,8.8,,计算派生,,1,,,demo,未核实,
DEMO-T1-ICP-0002.M03,DEMO-T1-ICP-0002,DEMO-T1-01,swa_deg,86.4,deg,SEM读图,left,1,1.5,,demo,未核实,
DEMO-T1-ICP-0003.M01,DEMO-T1-ICP-0003,DEMO-T1-01,depth_center_nm,190.0,nm,SEM读图,center,1,3.0,,demo,未核实,
DEMO-T1-ICP-0003.M02,DEMO-T1-ICP-0003,DEMO-T1-01,selectivity,9.2,,计算派生,,1,,,demo,未核实,
DEMO-T1-ICP-0003.M03,DEMO-T1-ICP-0003,DEMO-T1-01,swa_deg,86.6,deg,SEM读图,left,1,1.5,,demo,未核实,
DEMO-T1-ICP-0004.M01,DEMO-T1-ICP-0004,DEMO-T1-01,depth_center_nm,193.6,nm,SEM读图,center,1,3.0,,demo,未核实,
DEMO-T1-ICP-0004.M02,DEMO-T1-ICP-0004,DEMO-T1-01,selectivity,9.6,,计算派生,,1,,,demo,未核实,
DEMO-T1-ICP-0004.M03,DEMO-T1-ICP-0004,DEMO-T1-01,swa_deg,86.8,deg,SEM读图,left,1,1.5,,demo,未核实,
DEMO-T1-ICP-0005.M01,DEMO-T1-ICP-0005,DEMO-T1-01,depth_center_nm,205.5,nm,SEM读图,center,1,3.0,,demo,未核实,
DEMO-T1-ICP-0005.M02,DEMO-T1-ICP-0005,DEMO-T1-01,selectivity,10.0,,计算派生,,1,,,demo,未核实,
DEMO-T1-ICP-0005.M03,DEMO-T1-ICP-0005,DEMO-T1-01,swa_deg,87.0,deg,SEM读图,left,1,1.5,,demo,未核实,
DEMO-T1-ICP-0006.M01,DEMO-T1-ICP-0006,DEMO-T1-01,depth_center_nm,212.4,nm,SEM读图,center,1,3.0,,demo,未核实,
DEMO-T1-ICP-0006.M02,DEMO-T1-ICP-0006,DEMO-T1-01,selectivity,10.4,,计算派生,,1,,,demo,未核实,
DEMO-T1-ICP-0006.M03,DEMO-T1-ICP-0006,DEMO-T1-01,swa_deg,87.2,deg,SEM读图,left,1,1.5,,demo,未核实,
DEMO-T1-ICP-0007.M01,DEMO-T1-ICP-0007,DEMO-T1-01,depth_center_nm,218.2,nm,SEM读图,center,1,3.0,,demo,未核实,
DEMO-T1-ICP-0007.M02,DEMO-T1-ICP-0007,DEMO-T1-01,selectivity,10.8,,计算派生,,1,,,demo,未核实,
DEMO-T1-ICP-0007.M03,DEMO-T1-ICP-0007,DEMO-T1-01,swa_deg,87.4,deg,SEM读图,left,1,1.5,,demo,未核实,
DEMO-T1-ICP-0008.M01,DEMO-T1-ICP-0008,DEMO-T1-01,depth_center_nm,230.1,nm,SEM读图,center,1,3.0,,demo,未核实,
DEMO-T1-ICP-0008.M02,DEMO-T1-ICP-0008,DEMO-T1-01,selectivity,11.2,,计算派生,,1,,,demo,未核实,
DEMO-T1-ICP-0008.M03,DEMO-T1-ICP-0008,DEMO-T1-01,swa_deg,87.6,deg,SEM读图,left,1,1.5,,demo,未核实,
DEMO-T1-ICP-0009.M01,DEMO-T1-ICP-0009,DEMO-T1-01,depth_center_nm,234.5,nm,SEM读图,center,1,3.0,,demo,未核实,
DEMO-T1-ICP-0009.M02,DEMO-T1-ICP-0009,DEMO-T1-01,selectivity,11.6,,计算派生,,1,,,demo,未核实,
DEMO-T1-ICP-0009.M03,DEMO-T1-ICP-0009,DEMO-T1-01,swa_deg,87.8,deg,SEM读图,left,1,1.5,,demo,未核实,
DEMO-T1-SEM-0001.M01,DEMO-T1-SEM-0001,DEMO-T1-02,final_cd_nm,498,nm,SEM读图,center,1,2.0,,demo,未核实,
