run_id,batch_id,sample_id,stage,stage_seq,date,t_start,t_end,tool,tool_id,recipe_id,operator,purpose,parent_run_id,env_temp_c,env_rh_pct,status,note
DEMO-T1-PECVD-0001,DEMO-T1,DEMO-T1-01,PECVD,1,2026-01-02,,,PECVD demo,PECVD-DEMO,,demo,film deposition,,23.0,45.0,done,
DEMO-T1-LDW-0001,DEMO-T1,DEMO-T1-01,LDW,1,2026-01-03,,,LDW demo,LDW-DEMO,,demo,grating exposure,DEMO-T1-PECVD-0001,23.0,45.0,done,
DEMO-T1-SEM-0001,DEMO-T1,DEMO-T1-02,SEM,1,2026-01-05,,,SEM demo,SEM-DEMO,,demo,CD measurement,DEMO-T1-ICP-0005,23.0,45.0,done,
DEMO-T1-ICP-0001,DEMO-T1,DEMO-T1-01,ICP,1,2026-01-04,,,ICP demo,ICP-DEMO,,demo,mask open etch,DEMO-T1-LDW-0001,23.0,45.0,done,
DEMO-T1-ICP-0002,DEMO-T1,DEMO-T1-01,ICP,2,2026-01-04,,,ICP demo,ICP-DEMO,,demo,mask open etch,DEMO-T1-LDW-0001,23.0,45.0,done,
DEMO-T1-ICP-0003,DEMO-T1,DEMO-T1-01,ICP,3,2026-01-04,,,ICP demo,ICP-DEMO,,demo,mask open etch,DEMO-T1-LDW-0001,23.0,45.0,done,
DEMO-T1-ICP-0004,DEMO-T1,DEMO-T1-01,ICP,4,2026-01-04,,,ICP demo,ICP-DEMO,,demo,mask open etch,DEMO-T1-LDW-0001,23.0,45.0,done,
DEMO-T1-ICP-0005,DEMO-T1,DEMO-T1-01,ICP,5,2026-01-04,,,ICP demo,ICP-DEMO,,demo,mask open etch,DEMO-T1-LDW-0001,23.0,45.0,done,
DEMO-T1-ICP-0006,DEMO-T1,DEMO-T1-01,ICP,6,2026-01-04,,,ICP demo,ICP-DEMO,,demo,mask open etch,DEMO-T1-LDW-0001,23.0,45.0,done,
DEMO-T1-ICP-0007,DEMO-T1,DEMO-T1-01,ICP,7,2026-01-04,,,ICP demo,ICP-DEMO,,demo,mask open etch,DEMO-T1-LDW-0001,23.0,45.0,done,
DEMO-T1-ICP-0008,DEMO-T1,DEMO-T1-01,ICP,8,2026-01-04,,,ICP demo,ICP-DEMO,,demo,mask open etch,DEMO-T1-LDW-0001,23.0,45.0,done,
DEMO-T1-ICP-0009,DEMO-T1,DEMO-T1-01,ICP,9,2026-01-04,,,ICP demo,ICP-DEMO,,demo,mask open etch,DEMO-T1-LDW-0001,23.0,45.0,done,
